latitude,longitude,altitude,geometry,state_code,source,name,ward_code,poi_type,global_id
6.5067,3.37592,,Point,LA,OSGOF,Yaba Baptist Church Yaba,LASLMD10,Church,655b2b3d-e24d-4f58-b346-60f94daa3ea9
6.60745,3.32753,,Point,LA,OSGOF,Celestial Church Of Christ Onipetesi,LASIKA13,Church,6578e810-93c3-4c1a-971e-0e2ec660b488
6.52598,3.36637,,Point,LA,OSGOF,Redeemed Christian Church Fadeyi,LASMUN02,Church,65aead5f-ef78-4d53-a438-347677440822
6.65124,3.27118,,Point,LA,OSGOF,Mountain Of Glory Church Akintan,LASAMO06,Church,6629b043-40ed-4c6d-b01e-cf38f2c71d1f
6.60575,3.39526,,Point,LA,OSGOF,The Apotolic Church Erukan,LASKSE09,Church,663e66dd-d244-4e3b-8928-b19eb65ec86f
6.40188,3.39173,,Point,LA,OSGOF,Redeemed Christian Church Of God Okun Ayo,LASEOA19,Church,66f88e12-95c8-465b-bb86-076182dbe435
6.52409,3.37142,,Point,LA,OSGOF,Pentecostal Of Christ Igbobi Fadeyi,LASLMD10,Church,678f6e5c-0919-418b-81a9-dd5324c600e4
6.47541,3.33047,,Point,LA,OSGOF,Cherubim And Seraphim Church Coker,LASSUE09,Church,67d48696-f8bd-4551-8207-695f2fd34c35
6.49288,3.3558,,Point,LA,OSGOF,Redeemed Church Adamu,LASSUE01,Church,67dccf41-c68f-49be-bc7f-6ea8f147bbce
6.50305,3.32673,,Point,LA,OSGOF,Christ Apostolic Church Oke,LASMUN13,Church,68018bec-4800-4a21-8970-bcad9902c276
6.45152,3.32863,,Point,LA,OSGOF,The Reigners Bible Church Awodi Ora,LASATO07,Church,680cdaa0-9a5e-4872-a989-fc24a0f38c9d
6.48579,3.16664,,Point,LA,OSGOF,C R C New Mebamu,LASOJO01,Church,6813dd63-b87f-407b-952d-c9c13031d301
6.66219,3.28397,,Point,LA,OSGOF,Celestial Church Of Christ Alagbado,LASAMO05,Church,682cd10b-91fd-4493-82d3-1c9eed7d89cc
6.52537,3.39209,,Point,LA,OSGOF,Redeemed Church Unity Province,LASSMU02,Church,68384f91-b1d1-49b5-a3ea-661297eea426
6.47694,3.34051,,Point,LA,OSGOF,Deliverance And Liberation Church Orile Iganmu,LASSUE07,Church,68874de8-d252-41ab-9855-728887ce241b
6.654163,4.08627,,Point,LA,eHA_Polio,Redeemed Church of God,LASEPE10,Church,68bbea3e-ec8e-4ddc-abdc-d05a9f3f2e74
6.46812,3.56039,,Point,LA,OSGOF,Prosperity Church Of Nigeria Ilaje Ajah,LASEOA03,Church,68bd5a07-1e1c-440f-bbd0-e975e82f36e5
6.5502,3.23619,,Point,LA,OSGOF,Methodist Church Egan,LASAMO17,Church,6930bad8-dd19-4d9b-85f0-5e7cbf655b3e
6.49813,3.33555,,Point,LA,OSGOF,Christ Apostolic Church 2 Itire,LASSUE21,Church,6948f00f-c370-4f05-a36c-f47696561eb7
6.65704,3.79595,,Point,LA,OSGOF,Our Saviour Anglican Church Itoikin,LASEPE09,Church,69547950-1ee3-41d9-a0e2-c75d6c4515f5
6.52949,3.35756,,Point,LA,OSGOF,Methodist Church Baba Oloosa,LASMUN03,Church,69770002-e36c-4c09-9d23-6f3cfb157b82
6.50098,3.38843,,Point,LA,OSGOF,Imole Ayo C And S Church Makoko,LASLMD12,Church,69efdd1e-0db0-4bef-872b-f1ad68cfd5a7
6.50124,3.38213,,Point,LA,OSGOF,Shalom Worship Center Alagomeji,LASLMD05,Church,69f4fc62-cdd0-4bc9-88f7-9a0d52b30c2a
6.49812,3.38665,,Point,LA,OSGOF,Celestial Church Of The Lord Makoko,LASLMD12,Church,6a13bade-053b-4bd4-9819-5e57230594ed
6.46013,3.54978,,Point,LA,OSGOF,Catholic Church Of The Tranfigurat,LASEOA04,Church,6a69d814-5b14-4370-a219-c942d94095cb
6.53298,3.38337,,Point,LA,OSGOF,The Radiant Church Bajulaiye,LASSMU04,Church,6a8cf4e1-9958-48e3-8659-b67b9ce3e6ba
6.60536,3.29371,,Point,LA,OSGOF,Deeper Life Ministry Gowon Estate,LASAMO21,Church,6aeee6bc-3f7f-4623-8fde-44b7ccb6f513
6.6091,3.35451,,Point,LA,OSGOF,Gospel Pillar International Church Alausa,LASIKA04,Church,6af4534f-ffd6-419c-bd35-96f11228c514
6.43394,3.51023,,Point,LA,OSGOF,St Michael C And S Church Maiyegun,LASEOA15,Church,6b528c3b-2c96-47bb-86ab-0f9c0e2cc7b8
6.52808,3.32276,,Point,LA,OSGOF,Christ Herald Church Ire Akari,LASOIO14,Church,6b5f0db8-4b77-4094-b3a5-db2f0df86dd7
6.49293,3.3292,,Point,LA,OSGOF,Cherubim And Seraphim Church 2 Ijeshatedo,LASSUE03,Church,6b69e2fb-70ff-47dd-a326-40ef11d4715c
6.47868,3.38667,,Point,LA,OSGOF,Christ Apostolic Church Oyingbo,LASLMD17,Church,6b78b2dd-6778-4c8b-9fe5-aa6ae3b8e5bb
6.66259,3.2532,,Point,LA,OSGOF,Catholic Church Ilapo,LASAMO11,Church,6bcff4e7-fb2a-4d68-b766-f91b650a85e9
6.463533,3.342955,,Point,LA,eHA_Polio,Independent Christ Apostolic Church,LASATO05,Church,6bd29208-db96-477c-8cd9-9776d959c0c0
6.48043,3.34324,,Point,LA,OSGOF,The Redeemed Church 3 Orile Iganmu,LASSUE19,Church,6bf743d4-0014-4de6-8654-1f3f3c8fa658
6.61773,3.33045,,Point,LA,OSGOF,Mountain Of Joy Church Ajegunle,LASAGG13,Church,6c14029d-e931-4f8f-937b-c1178d4fef5e
6.66096,3.30122,,Point,LA,OSGOF,Deeper Life Church Ilupeju Titun,LASIOE01,Church,6c52baa4-d7cb-40ec-a450-c45a63894059
6.50714,3.33551,,Point,LA,OSGOF,Evangelical Mission Itire,LASSUE18,Church,6c97c9ae-80ae-41ce-a464-724aafc8c291
6.53318,3.36392,,Point,LA,OSGOF,Imisi Jesu Gospel Church Onipanu,LASMUN10,Church,6cb90997-497d-44f6-9472-803c50b63b6c
6.46004,3.19778,,Point,LA,OSGOF,Redeemed Christian Church Of God Ojo Town,LASOJO11,Church,6ce7d188-aa84-4db2-9847-053e5d3c468a
6.61479,3.70583,,Point,LA,OSGOF,Zion Church Ikosi Beach,LASEPE02,Church,6d1d551d-0594-4801-b4e8-f9937e9dacd7
6.45966,3.34799,,Point,LA,OSGOF,Power And Life Church Aiyetoro,LASATO01,Church,6d32306c-625b-42dd-8357-9305504c3b26
6.49728,3.38908,,Point,LA,OSGOF,Celestial Church Of Christ 2 Makoko,LASLMD12,Church,6dd929eb-f8d4-4bb2-8273-fb1ef01d5c28
6.60891,3.43589,,Point,LA,OSGOF,Christ Apostolic Church Odo Ogun,LASKSE14,Church,6df439c1-b00a-4829-b590-a708711ce156
