latitude,longitude,altitude,geometry,state_code,source,name,ward_code,poi_type,global_id
6.68323,3.51193,,Point,LA,OSGOF,Odo Kekere Central Mosque,LASIKU23,Mosque,2cdf3d39-6341-45db-9306-256e8701e4cc
6.52052,3.33267,,Point,LA,OSGOF,Isaha Deen Mosque,LASOIO13,Mosque,2ce22dca-bf47-44aa-9602-d5f3db6460a3
6.56586,3.59438,,Point,LA,OSGOF,Alasalatu Mosque,LASIKU25,Mosque,2df8cec4-1f8a-4647-b1b9-1103697e0df9
6.52699,3.36156,,Point,LA,OSGOF,Odi Olowo Central Mosque,LASMUN06,Mosque,2e6adeac-add6-417d-8e3c-3c0d2ef13206
6.60678,3.39639,,Point,LA,OSGOF,Erukan Mosque,LASKSE09,Mosque,2f0e934f-2eda-425f-8f2b-776e5f07b9ef
6.55375,3.33872,,Point,LA,OSGOF,Opeloyeru Oloro Mosque,LASOIO01,Mosque,2f1931c9-87dc-4fd7-92a7-203c78f94ca8
6.40507,3.157,,Point,LA,OSGOF,Agaja Central Mosque,LASOJO15,Mosque,30c067e7-51fc-403e-809c-36593329fe52
6.61312,3.89666,,Point,LA,OSGOF,Ejirin Central Mosque,LASEPE07,Mosque,30cf7a7f-8fe5-41a5-a322-b7791cecf31e
6.52886,3.32692,,Point,LA,OSGOF,Alhaji Hassan Akanbi Mosque,LASOIO05,Mosque,30d42711-e38c-4dcc-943f-42f9e3bba5e2
6.63157,3.31321,,Point,LA,OSGOF,Olorungbebe Mosque 3,LASAGG12,Mosque,3196d40f-c5db-4c07-b0c8-072d48e3f976
6.45271,3.39994,,Point,LA,OSGOF,Abu Court Quranic Mosque,LASLID06,Mosque,31bc01b3-a6c5-466b-a989-9980d938df07
6.62969,3.33788,,Point,LA,OSGOF,Aranseolohun Center Mosque,LASIOE10,Mosque,321ffe8e-11f5-4436-b489-1ea2b77a211c
6.53189,3.35047,,Point,LA,OSGOF,Ajumonire Mosque,LASMUN12,Mosque,3235a6a6-b671-4016-9922-54b1c650a91b
6.60387,3.40233,,Point,LA,OSGOF,Owode Orile Mosque,LASKSE03,Mosque,32a23e91-5a8b-4945-ad97-9a2d5eb2c965
6.45612,3.36055,,Point,LA,OSGOF,Mobil Road Mosque,LASAPA09,Mosque,335008d0-4cc4-411c-9d98-b8bc8d32b2d8
6.53646,3.38702,,Point,LA,OSGOF,Orile Bariga Central Mosque,LASSMU01,Mosque,33603e0c-5c0d-4580-8ebe-211892357d87
6.52707,3.35162,,Point,LA,OSGOF,Nurudeen Mosque Alasalatu,LASMUN11,Mosque,33da7c3f-7bc7-4756-ac46-d92742078a36
6.45502,3.35209,,Point,LA,OSGOF,Alayabiagba Mosque 2,LASATO08,Mosque,344e69eb-c30d-4648-8504-029b4f2204ae
6.51113,3.3373,,Point,LA,OSGOF,Itire Central Mosque,LASMUN17,Mosque,349aa871-686e-4c0a-ab61-820c02753bab
6.63593,3.33801,,Point,LA,OSGOF,Yahaya Ismalla Mosque,LASIOE09,Mosque,34f05258-21d2-4a74-b00a-5011c8f4c8e6
6.49623,3.11353,,Point,LA,OSGOF,Oto Awori Central Mosque,LASOJO13,Mosque,3540df35-fb90-4e18-a78c-6d25f6b7e61a
6.57982,3.97356,,Point,LA,OSGOF,Ansar Ud Deen Central Mosque,LASEPE03,Mosque,357e82a1-c8df-41ac-9753-f116f87bbdc2
6.62035,3.39584,,Point,LA,OSGOF,Olakunlehin Mosque,LASKSE21,Mosque,36cb4f64-09dc-4dad-a805-d378c545847b
6.50924,3.32996,,Point,LA,OSGOF,Mahadial Azeez Memorial Mosque,LASMUN14,Mosque,36e86802-60fc-4e52-9c88-367aeb1cb2ce
6.53744,3.37301,,Point,LA,OSGOF,Ifedayo Mosque,LASSMU09,Mosque,36e8eccc-2483-48a9-9a89-81e84b93c565
6.44553,3.13983,,Point,LA,OSGOF,Imolodini Central Mosque,LASOJO02,Mosque,37043f01-405e-456a-8472-697e93380c76
6.44244,3.33545,,Point,LA,OSGOF,Iya Mecca Central Mosque,LASATO04,Mosque,37ade2dd-59b0-4f6b-99b1-3597b30b0e7c
6.41821,3.23553,,Point,LA,OSGOF,Ikaare Central Mosque,LASAON05,Mosque,37ce85a0-3c9a-484e-acc8-798d82060cdc
6.44331,3.33713,,Point,LA,OSGOF,Alakoto Mosque 3,LASATO04,Mosque,385ded59-1fd0-4ae5-bd44-727bc3494667
6.52017,3.33262,,Point,LA,OSGOF,Shams Ud Deen Mosque,LASOIO13,Mosque,386f92dd-c717-47cd-9cde-313e8f0050f2
6.55305,3.29499,,Point,LA,OSGOF,Faith Convalescent Mosque,LASOIO10,Mosque,38771d05-4c96-432e-b831-2647fb4e1f28
6.52752,3.38534,,Point,LA,OSGOF,Akoka Central Mosque,LASSMU07,Mosque,388d0bb6-fdb0-42c4-a926-e325bdbd3830
6.49958,3.3334,,Point,LA,OSGOF,Aranshe Oluwa Mosque,LASSUE21,Mosque,38c32909-e226-4f7b-ae9c-736e8578352e
6.61091,3.34377,,Point,LA,OSGOF,Abule Oloti Mosque,LASIKA17,Mosque,39043518-76fc-49fb-a283-f0c468f9064a
6.47778,3.34557,,Point,LA,OSGOF,Afenifere Central Mosque,LASAPA03,Mosque,394cff5e-0881-4095-a51b-cec808607614
6.4278,3.2346,,Point,LA,OSGOF,Surulere Mosque Irede Oriade,LASAON05,Mosque,39903c83-e675-43d3-b14d-90a03032f10a
6.47494,3.32829,,Point,LA,OSGOF,Ashabi Olarenwaju Mosque,LASSUE09,Mosque,3a06c62f-efe2-48f7-b2ec-3ebb2d29498d
6.61793,3.33344,,Point,LA,OSGOF,Ajegunle Ogba Mosque,LASAGG06,Mosque,3a4716a4-d940-4bcd-b2eb-29dc2154da78
6.55682,3.40036,,Point,LA,OSGOF,Busari Lawal Mosque,LASKSE17,Mosque,3a4745cc-3fcd-49b2-8fa6-501311913357
6.44715,3.34842,,Point,LA,OSGOF,Olodi Apapa Mosque 2,LASATO16,Mosque,3a7f6dc7-5021-49a6-bdc6-a6cfad8bd8c8
6.46955,3.34327,,Point,LA,OSGOF,Opeloyeru Mosque Amukoko,LASATO11,Mosque,3b066121-9b62-4444-853d-2a4f23b051b8
